qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
7344,979,830,9,33,5,77266,77028,76797
7345,979,817,9,3,6,77702,77698,76818
7346,979,807,4,27,7,78137,77655,77468
7347,979,4,1,14,8,78395,77919,77549
7348,979,838,1,2,9,78479,78000,77894
7349,979,832,5,55,10,78948,78311,78912
7350,979,835,4,30,11,78699,78415,
7351,979,839,10,31,12,78843,78495,
7352,979,826,5,26,13,78702,78538,
7353,979,815,10,11,14,79095,78639,
7354,979,154,210,8,15,79085,78771,
7355,979,825,210,20,16,79095,,
7356,979,840,3,18,17,79102,,
7357,979,836,15,94,18,79839,,
7358,979,814,3,40,19,79868,,
7359,979,828,15,9,20,79972,,
7360,980,1,131,44,1,104184,102927,102553
7361,980,20,6,5,2,104275,103987,102795
7362,980,822,131,77,3,104773,103249,103094
7363,980,8,6,7,4,104729,103700,103270
7364,980,830,9,33,5,104535,103940,103380
7365,980,817,9,3,6,105114,104224,103863
7366,980,807,4,27,7,105280,104988,104982
7367,980,815,10,11,8,105591,104894,105244
7368,980,839,10,31,9,105277,105006,105369
7369,980,835,4,30,10,105447,104685,
7370,980,4,1,14,11,105668,105090,
7371,980,154,210,8,12,105728,105133,
7372,980,825,210,20,13,105535,105400,
7373,980,832,5,55,14,105374,105439,
7374,980,838,1,2,15,105441,,
7375,980,13,3,19,16,105823,,
7376,980,826,5,26,17,106028,,
7377,980,840,3,18,18,106915,,
7378,980,828,15,9,19,107214,,
7379,980,836,15,94,20,107679,,
7380,981,1,131,44,1,96009,94660,95554
7381,981,830,9,33,2,97344,96113,96702
7382,981,817,9,3,3,98304,97313,96841
7383,981,840,3,18,4,97653,97002,97032
7384,981,839,10,31,5,98775,97580,97719
7385,981,822,131,77,6,95716,95396,97833
7386,981,8,6,7,7,98235,97031,97987
7387,981,20,6,5,8,97198,96223,98064
7388,981,13,3,19,9,98338,97456,98251
7389,981,838,1,2,10,98767,97471,99157
7390,981,815,10,11,11,98511,97582,
7391,981,807,4,27,12,99242,98059,
7392,981,4,1,14,13,99134,98202,
7393,981,826,5,26,14,99183,98245,
7394,981,832,5,55,15,99788,98526,
7395,981,825,210,20,16,100489,,
7396,981,835,4,30,17,100646,,
7397,981,828,15,9,18,101732,,
7398,981,836,15,94,19,101875,,
7399,981,154,210,8,20,103355,,
7400,982,20,6,5,1,103336,100529,99491
7401,982,830,9,33,2,102010,100332,99814
7402,982,817,9,3,3,102063,100385,99840
7403,982,8,6,7,4,103328,100525,100069
7404,982,1,131,44,5,102455,100577,100126
7405,982,822,131,77,6,103137,101409,100810
7406,982,807,4,27,7,102586,101277,101013
7407,982,4,1,14,8,102086,101442,101179
7408,982,838,1,2,9,102222,101227,101398
7409,982,832,5,55,10,102176,101826,102056
7410,982,835,4,30,11,102472,102107,
7411,982,815,10,11,12,103594,102246,
7412,982,826,5,26,13,102544,102338,
7413,982,839,10,31,14,103626,102760,
7414,982,154,210,8,15,103627,103883,
7415,982,825,210,20,16,103756,,
7416,982,13,3,19,17,104014,,
7417,982,840,3,18,18,104728,,
7418,982,836,15,94,19,105059,,
7419,982,828,15,9,20,105570,,
7420,983,1,131,44,1,91605,90977,90076
7421,983,8,6,7,2,92259,90926,90121
7422,983,830,9,33,3,91920,90931,90541
7423,983,817,9,3,4,92415,91061,90595
7424,983,20,6,5,20,,,
7425,983,839,10,31,6,92527,91651,91478
7426,983,838,1,2,7,92838,91848,91582
7427,983,807,4,27,8,92586,91778,91607
7428,983,815,10,11,9,92768,91484,91658
7429,983,4,1,14,10,93049,92009,91704
7430,983,13,3,19,11,92267,92034,
7431,983,835,4,30,12,92576,92100,
7432,983,840,3,18,13,93000,92307,
7433,983,832,5,55,14,92650,92402,
7434,983,842,5,10,15,92546,92558,
7435,983,154,210,8,16,93308,,
7436,983,825,210,20,17,93434,,
7437,983,836,15,94,18,93483,,
7438,983,828,15,9,19,93970,,
7439,983,822,131,77,5,92253,90803,90758
7440,984,1,131,44,1,89047,87819,87319
7441,984,822,131,77,2,89332,88543,87651
7442,984,20,6,5,3,89352,88225,87791
7443,984,817,9,3,4,89475,88935,88306
