resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
7874,356,95,6,27,6,1,1,1,9.0,61,5938744,,,,,1
7875,356,117,1,2,5,2,2,2,6.0,61,5946553,,,,,1
7876,356,127,37,15,12,3,3,3,4.0,61,5948114,,,,,1
7877,356,65,22,20,10,4,4,4,3.0,61,5949237,,,,,1
7878,356,118,21,9,8,5,5,5,2.0,61,5956610,,,,,1
7879,356,145,22,19,11,6,6,6,1.0,61,5956985,,,,,1
7880,356,156,25,3,18,7,7,7,0.0,60,,,,,,11
7881,356,138,32,12,21,8,8,8,0.0,60,,,,,,11
7882,356,129,27,26,22,9,9,9,0.0,60,,,,,,11
7883,356,105,25,4,20,10,10,10,0.0,59,,,,,,12
7884,356,102,1,1,1,11,11,11,0.0,59,,,,,,12
7885,356,112,33,30,26,12,12,12,0.0,58,,,,,,13
7886,356,110,35,22,15,13,13,13,0.0,57,,,,,,14
7887,356,157,48,38,17,14,14,14,0.0,56,,,,,,15
7888,356,119,3,6,2,15,15,15,0.0,51,,,,,,91
7889,356,158,21,10,24,,R,16,0.0,37,,,,,,4
7890,356,146,49,34,25,,R,17,0.0,36,,,,,,4
7891,356,84,34,7,13,,R,18,0.0,27,,,,,,86
7892,356,122,37,16,7,,R,19,0.0,22,,,,,,22
7893,356,137,32,11,9,,R,20,0.0,10,,,,,,69
7894,356,78,45,17,19,,D,21,0.0,10,,,,,,2
7895,356,131,34,8,14,,R,22,0.0,9,,,,,,86
7896,356,123,3,5,4,,R,23,0.0,3,,,,,,5
7897,356,94,18,23,16,,R,24,0.0,2,,,,,,83
7898,356,77,6,28,3,,R,25,0.0,0,,,,,,4
7899,356,159,18,24,23,,R,26,0.0,0,,,,,,4
7900,356,114,33,29,0,,F,27,0.0,0,,,,,,81
7901,356,163,27,25,0,,F,28,0.0,0,,,,,,81
7902,356,148,44,33,0,,F,29,0.0,0,,,,,,81
7903,356,90,42,31,0,,F,30,0.0,0,,,,,,81
7904,356,133,35,21,0,,F,31,0.0,0,,,,,,97
7905,356,160,45,18,0,,F,32,0.0,0,,,,,,97
7906,356,161,48,39,0,,F,33,0.0,0,,,,,,97
7907,356,162,42,32,0,,F,34,0.0,0,,,,,,97
7908,356,164,39,41,0,,F,35,0.0,0,,,,,,97
7909,356,88,49,35,0,,F,36,0.0,0,,,,,,97
7910,356,140,46,36,0,,F,37,0.0,0,,,,,,97
7911,356,92,46,37,0,,F,38,0.0,0,,,,,,97
7912,357,102,1,1,1,1,1,1,9.0,58,5211245,,,,,1
7913,357,117,1,2,2,2,2,2,6.0,58,5251470,,,,,1
7914,357,145,22,19,7,3,3,3,4.0,57,,,,,,11
7915,357,123,3,5,6,4,4,4,3.0,57,,,,,,11
7916,357,118,21,9,12,5,5,5,2.0,57,,,,,,11
7917,357,156,25,3,25,6,6,6,1.0,57,,,,,,11
7918,357,133,35,21,9,7,7,7,0.0,57,,,,,,11
7919,357,99,39,40,18,8,8,8,0.0,57,,,,,,11
7920,357,158,21,10,21,9,9,9,0.0,56,,,,,,12
7921,357,110,35,22,16,10,10,10,0.0,56,,,,,,12
7922,357,65,22,20,23,11,11,11,0.0,56,,,,,,12
7923,357,78,45,17,14,12,12,12,0.0,52,,,,,,20
7924,357,84,34,7,22,,R,13,0.0,51,,,,,,69
7925,357,138,32,12,24,,N,14,0.0,46,,,,,,62
7926,357,159,18,24,15,,R,15,0.0,43,,,,,,20
7927,357,127,37,15,19,,R,16,0.0,39,,,,,,7
7928,357,137,32,11,8,,R,17,0.0,29,,,,,,5
7929,357,95,6,27,3,,R,18,0.0,23,,,,,,6
7930,357,119,3,6,4,,R,19,0.0,21,,,,,,5
7931,357,131,34,8,17,,R,20,0.0,19,,,,,,20
7932,357,94,18,23,11,,R,21,0.0,6,,,,,,6
7933,357,129,27,26,10,,D,22,0.0,4,,,,,,2
7934,357,77,6,28,5,,R,23,0.0,3,,,,,,3
7935,357,122,37,16,13,,R,24,0.0,1,,,,,,20
7936,357,112,33,30,20,,R,25,0.0,0,,,,,,10
7937,357,114,33,29,26,,R,26,0.0,0,,,,,,10
7938,357,105,25,4,0,,F,27,0.0,0,,,,,,81
7939,357,163,27,25,0,,F,28,0.0,0,,,,,,81
