resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
1,18,1,1,22,1,1,1,1,10.0,58,5690616,39,2,87452,218.3,1
2,18,2,2,3,5,2,2,2,8.0,58,5696094,41,3,87739,217.586,1
3,18,3,3,7,7,3,3,3,6.0,58,5698779,41,5,88090,216.719,1
4,18,4,4,5,11,4,4,4,5.0,58,5707797,58,7,88603,215.464,1
5,18,5,1,23,3,5,5,5,4.0,58,5708630,43,1,87418,218.385,1
6,18,6,3,8,13,6,6,6,3.0,57,,50,14,89639,212.974,11
7,18,7,5,14,17,7,7,7,2.0,55,,22,12,89534,213.224,5
8,18,8,6,1,15,8,8,8,1.0,53,,20,4,87903,217.18,5
9,18,9,2,4,2,,R,9,0.0,47,,15,9,88753,215.1,4
10,18,10,7,12,18,,R,10,0.0,43,,23,13,89558,213.166,3
11,18,11,8,18,19,,R,11,0.0,32,,24,15,90892,210.038,7
12,18,12,4,6,20,,R,12,0.0,30,,20,16,91384,208.907,8
13,18,13,6,2,4,,R,13,0.0,29,,23,6,88175,216.51,5
14,18,14,9,9,8,,R,14,0.0,25,,21,11,89502,213.3,4
15,18,15,7,11,6,,R,15,0.0,19,,18,10,89310,213.758,10
16,18,16,10,20,22,,R,16,0.0,8,,8,17,92021,207.461,9
17,18,17,9,10,14,,R,17,0.0,0,,,,,,4
18,18,18,11,16,12,,R,18,0.0,0,,,,,,4
19,18,19,8,19,21,,R,19,0.0,0,,,,,,4
20,18,20,5,15,9,,R,20,0.0,0,,,,,,4
21,18,21,10,21,16,,R,21,0.0,0,,,,,,4
22,18,22,11,17,10,,D,22,0.0,58,,44,8,88736,215.141,2
23,19,8,6,1,2,1,1,1,10.0,56,5478555,37,2,95405,209.158,1
24,19,9,2,4,4,2,2,2,8.0,56,5498125,39,6,95921,208.033,1
25,19,5,1,23,8,3,3,3,6.0,56,5517005,19,7,95922,208.031,1
26,19,15,7,11,3,4,4,4,5.0,56,5524387,53,8,96068,207.715,1
27,19,1,1,22,9,5,5,5,4.0,56,5525103,53,3,95462,209.033,1
28,19,2,2,3,5,6,6,6,3.0,56,5528388,55,1,95366,209.244,1
29,19,17,9,10,6,7,7,7,2.0,56,5546685,53,12,96696,206.366,1
30,19,4,4,5,7,8,8,8,1.0,56,5548596,40,10,96288,207.24,1
31,19,14,9,9,12,9,9,9,0.0,56,5554775,55,9,96206,207.417,1
32,19,18,11,16,11,10,10,10,0.0,56,5564769,56,4,95715,208.481,1
33,19,12,4,6,13,11,11,11,0.0,56,5570757,52,15,96956,205.812,1
34,19,21,10,21,17,12,12,12,0.0,55,,52,16,96962,205.8,11
35,19,22,11,17,14,13,13,13,0.0,55,,55,11,96693,206.372,11
36,19,3,3,7,16,14,14,14,0.0,55,,55,13,96782,206.182,11
37,19,19,8,19,21,15,15,15,0.0,55,,55,18,98171,203.265,11
38,19,11,8,18,19,16,16,16,0.0,54,,53,19,98504,202.578,12
39,19,6,3,8,22,17,17,17,0.0,54,,19,17,97711,204.222,12
40,19,20,5,15,15,,R,18,0.0,39,,37,14,96870,205.995,5
41,19,13,6,2,1,,R,19,0.0,30,,15,5,95914,208.048,20
42,19,16,10,20,20,,R,20,0.0,5,,3,20,100330,198.891,9
43,19,10,7,12,10,,R,21,0.0,1,,,,,,4
44,19,7,5,14,18,,R,22,0.0,0,,,,,,20
45,20,13,6,2,2,1,1,1,10.0,57,5466970,38,3,93600,208.153,1
46,20,8,6,1,4,2,2,2,8.0,57,5470309,35,4,93709,207.911,1
47,20,9,2,4,1,3,3,3,6.0,57,5471968,55,5,93775,207.765,1
48,20,2,2,3,6,4,4,4,5.0,57,5475379,48,2,93565,208.231,1
49,20,5,1,23,5,5,5,5,4.0,57,5493759,49,1,93193,209.062,1
50,20,15,7,11,7,6,6,6,3.0,57,5508284,45,7,94204,206.819,1
51,20,17,9,10,11,7,7,7,2.0,57,5512443,51,8,94305,206.597,1
52,20,3,3,7,8,8,8,8,1.0,57,5522859,57,6,94072,207.109,1
53,20,10,7,12,13,9,9,9,0.0,57,5536470,56,9,94807,205.503,1
54,20,4,4,5,10,10,10,10,0.0,57,5544151,35,13,95194,204.668,1
55,20,22,11,17,12,11,11,11,0.0,57,5544832,40,10,94855,205.399,1
56,20,21,10,21,18,12,12,12,0.0,56,,56,11,95057,204.963,11
57,20,1,1,22,3,13,13,13,0.0,56,,25,19,95520,203.969,11
58,20,6,3,8,16,14,14,14,0.0,56,,30,17,95433,204.155,11
59,20,7,5,14,15,15,15,15,0.0,56,,33,15,95333,204.369,11
60,20,19,8,19,21,16,16,16,0.0,56,,45,14,95324,204.389,11
61,20,11,8,18,22,17,17,17,0.0,56,,56,20,95891,203.18,11
62,20,14,9,9,17,18,18,18,0.0,56,,43,16,95351,204.331,11
63,20,16,10,20,20,19,19,19,0.0,56,,55,18,95442,204.136,12
64,20,12,4,6,14,,R,20,0.0,40,,31,12,95129,204.808,6
65,20,18,11,16,9,,R,21,0.0,19,,11,21,96125,202.686,4
66,20,20,5,15,19,,R,22,0.0,0,,,,,,5
67,21,8,6,1,1,1,1,1,10.0,66,5899051,46,1,81670,205.191,1
68,21,13,6,2,3,2,2,2,8.0,66,5902279,45,2,81801,204.863,1
69,21,1,1,22,5,3,3,3,6.0,66,5903238,20,3,82017,204.323,1
70,21,9,2,4,4,4,4,4,5.0,66,5904745,20,4,82106,204.102,1
71,21,17,9,10,7,5,5,5,4.0,66,5934989,19,8,82564,202.969,1
72,21,18,11,16,13,6,6,6,3.0,66,5952061,66,5,82353,203.489,1
73,21,6,3,8,12,7,7,7,2.0,66,5957295,48,15,83549,200.576,1
74,21,15,7,11,8,8,8,8,1.0,66,5958486,45,10,82758,202.494,1
75,21,2,2,3,9,9,9,9,0.0,66,5962124,21,7,82519,203.08,1
76,21,21,10,21,19,10,10,10,0.0,65,,40,14,83439,200.841,11
77,21,10,7,12,14,11,11,11,0.0,65,,57,12,83007,201.886,11
78,21,14,9,9,17,12,12,12,0.0,65,,57,11,82842,202.288,11
79,21,11,8,18,22,13,13,13,0.0,65,,34,17,84617,198.045,11
80,21,3,3,7,15,,R,14,0.0,41,,20,13,83319,201.13,5
81,21,4,4,5,2,,R,15,0.0,34,,15,9,82683,202.677,5
82,21,22,11,17,11,,R,16,0.0,34,,21,16,83858,199.837,4
83,21,5,1,23,6,,R,17,0.0,21,,19,6,82453,203.243,3
84,21,19,8,19,21,,R,18,0.0,8,,6,20,86864,192.922,21
85,21,7,5,14,16,,R,19,0.0,7,,6,19,85999,194.862,4
86,21,12,4,6,10,,R,20,0.0,6,,6,18,85444,196.128,4
87,21,16,10,20,20,,R,21,0.0,0,,,,,,4
88,21,20,5,15,18,,R,22,0.0,0,,,,,,4
89,22,13,6,2,1,1,1,1,10.0,58,5209451,16,3,86666,221.734,1
90,22,1,1,22,3,2,2,2,8.0,58,5213230,31,2,86529,222.085,1
91,22,8,6,1,4,3,3,3,6.0,58,5213722,20,1,86506,222.144,1
92,22,9,2,4,5,4,4,4,5.0,58,5231396,17,4,86780,221.442,1
93,22,2,2,3,9,5,5,5,4.0,58,5248192,20,5,87219,220.328,1
94,22,4,4,5,7,6,6,6,3.0,58,5263175,57,6,87280,220.174,1
95,22,17,9,10,6,7,7,7,2.0,58,5273680,14,7,87630,219.294,1
96,22,3,3,7,11,8,8,8,1.0,58,5280857,55,9,87795,218.882,1
97,22,14,9,9,10,9,9,9,0.0,58,5284721,41,12,87966,218.457,1
98,22,15,7,11,8,10,10,10,0.0,58,5285795,52,11,87926,218.556,1
99,22,18,11,16,13,11,11,11,0.0,57,,57,13,87998,218.377,11
100,22,5,1,23,2,12,12,12,0.0,57,,55,8,87640,219.269,11
101,22,10,7,12,15,13,13,13,0.0,57,,28,16,88303,217.623,11
102,22,22,11,17,12,14,14,14,0.0,57,,56,14,88017,218.33,11
103,22,12,4,6,17,15,15,15,0.0,57,,40,10,87867,218.703,11
104,22,16,10,20,19,16,16,16,0.0,57,,35,18,88780,216.454,11
105,22,20,5,15,14,17,17,17,0.0,57,,38,15,88180,217.926,11
106,22,7,5,14,18,,R,18,0.0,24,,19,17,88745,216.539,22
107,22,6,3,8,16,,R,19,0.0,1,,,,,,4
108,22,21,10,21,20,,R,20,0.0,0,,,,,,4
109,23,1,1,22,3,1,1,1,10.0,76,7242742,71,6,78510,153.152,1
110,23,9,2,4,5,2,2,2,8.0,76,7245806,75,5,77933,154.286,1
111,23,13,6,2,1,3,3,3,6.0,76,7247553,76,4,77886,154.379,1
112,23,17,9,10,9,4,4,4,5.0,76,7262037,74,8,79036,152.133,1
113,23,20,5,15,19,5,5,5,4.0,76,7267399,74,7,78787,152.614,1
114,23,22,11,17,14,6,6,6,3.0,76,7271150,75,9,79574,151.104,1
115,23,6,3,8,13,7,7,7,2.0,76,7272922,75,13,79910,150.469,1
116,23,5,1,23,4,8,8,8,1.0,76,7275933,74,2,77282,155.586,1
