resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24626,1031,822,131,77,1,1,1,1,25.0,71,5455739,68,2,67657,229.758,1
24627,1031,844,6,16,7,2,2,2,18.0,71,5458439,64,4,67901,228.933,1
24628,1031,846,1,4,3,3,3,3,16.0,71,5461230,71,1,67475,230.378,1
24629,1031,1,131,44,5,4,4,4,12.0,71,5461428,67,3,67712,229.572,1
24630,1031,832,1,55,8,5,5,5,10.0,71,5464642,63,5,67974,228.687,1
24631,1031,815,211,11,6,6,6,6,8.0,71,5470831,63,6,68305,227.579,1
24632,1031,842,213,10,12,7,7,7,6.0,71,5472421,64,11,69025,225.205,1
24633,1031,839,4,31,14,8,8,8,4.0,71,5473195,64,10,68932,225.509,1
24634,1031,841,51,99,18,9,9,9,2.0,71,5476885,70,9,68796,225.954,1
24635,1031,20,6,5,11,10,10,10,1.0,71,5480284,71,8,68623,226.524,1
24636,1031,849,3,6,20,11,11,11,0.0,71,5487389,63,16,69662,223.146,1
24637,1031,826,213,26,13,12,12,12,0.0,69,,50,13,69135,224.847,22
24638,1031,848,9,23,4,13,13,13,0.0,67,,50,7,68432,227.156,40
24639,1031,8,51,7,19,,R,14,0.0,53,,48,12,69031,225.185,36
24640,1031,847,3,63,17,,R,15,0.0,49,,49,14,69317,224.256,32
24641,1031,154,210,8,15,,R,16,0.0,49,,46,17,70228,221.347,23
24642,1031,825,210,20,16,,R,17,0.0,24,,23,20,70720,219.807,23
24643,1031,840,211,18,9,,R,18,0.0,20,,4,18,70326,221.039,5
24644,1031,817,4,3,10,,R,19,0.0,17,,8,19,70610,220.15,25
24645,1031,830,9,33,2,,R,20,0.0,11,,5,15,69351,224.146,40
24646,1032,1,131,44,1,1,1,1,25.0,71,4970683,68,3,66719,232.989,1
24647,1032,822,131,77,4,2,2,2,18.0,71,4984402,62,7,67534,230.177,1
24648,1032,830,9,33,2,3,3,3,15.0,71,5004381,70,2,66145,235.01,1
24649,1032,848,9,23,6,4,4,4,12.0,71,5015083,67,6,67299,230.981,1
24650,1032,846,1,4,9,5,5,5,10.0,71,5032153,66,5,67193,231.345,1
24651,1032,815,211,11,17,6,6,6,8.0,71,5033070,68,4,67188,231.362,1
24652,1032,840,211,18,12,7,7,7,6.0,71,5033136,65,10,67833,229.162,1
24653,1032,817,4,3,8,8,8,8,4.0,71,5033274,65,9,67832,229.166,1
24654,1032,832,1,55,3,9,9,9,3.0,70,,68,1,65619,236.894,11
24655,1032,826,213,26,13,10,10,10,1.0,70,,60,13,68378,227.336,11
24656,1032,8,51,7,16,11,11,11,0.0,70,,57,14,68382,227.322,11
24657,1032,825,210,20,15,12,12,12,0.0,70,,69,11,68009,228.569,11
24658,1032,154,210,8,0,13,13,13,0.0,70,,69,12,68047,228.442,11
24659,1032,841,51,99,19,14,14,14,0.0,70,,54,15,68512,226.891,11
24660,1032,842,213,10,7,15,15,15,0.0,70,,69,8,67827,229.183,11
24661,1032,847,3,63,11,16,16,16,0.0,69,,36,16,68601,226.597,12
24662,1032,849,3,6,18,17,17,17,0.0,69,,68,17,68806,225.922,12
24663,1032,839,4,31,5,,R,18,0.0,25,,22,18,69321,224.243,25
24664,1032,844,6,16,14,,R,19,0.0,4,,3,19,95379,162.979,130
24665,1032,20,6,5,10,,R,20,0.0,1,,,0,,,130
24666,1033,1,131,44,1,1,1,1,26.0,70,5772473,70,1,76627,205.823,1
24667,1033,830,9,33,7,2,2,2,18.0,70,5781175,60,4,79184,199.176,1
24668,1033,822,131,77,2,3,3,3,15.0,70,5781925,66,2,77665,203.072,1
24669,1033,840,211,18,3,4,4,4,12.0,70,5830052,68,3,78973,199.708,1
24670,1033,848,9,23,13,5,5,5,10.0,70,5850789,68,5,79440,198.534,1
24671,1033,20,6,5,5,6,6,6,8.0,69,,49,14,80363,196.254,11
