resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
16203,656,328,196,7,4,1,1,1,9.0,80,6639100,,,,,1
16204,656,289,180,1,7,2,2,2,6.0,80,6657900,,,,,1
16205,656,304,187,5,3,3,3,3,4.0,80,6670900,,,,,1
16206,656,346,180,4,12,4,4,4,3.0,80,6688300,,,,,1
16207,656,360,187,6,8,5,5,5,2.0,79,,,,,,11
16208,656,306,196,8,11,6,6,6,1.0,78,,,,,,12
16209,656,262,66,11,14,7,7,7,0.0,77,,,,,,13
16210,656,368,191,17,17,8,8,8,0.0,73,,,,,,17
16211,656,362,191,19,16,,N,9,0.0,67,,,,,,62
16212,656,358,180,2,2,,R,10,0.0,44,,,,,,48
16213,656,341,66,10,18,,R,11,0.0,40,,,,,,5
16214,656,345,66,12,15,,R,12,0.0,38,,,,,,47
16215,656,278,6,9,5,,R,13,0.0,34,,,,,,5
16216,656,356,182,14,1,,R,14,0.0,32,,,,,,64
16217,656,207,180,3,6,,R,15,0.0,31,,,,,,6
16218,656,340,180,16,10,,R,16,0.0,31,,,,,,80
16219,656,235,182,15,13,,R,17,0.0,20,,,,,,80
16220,656,369,187,18,9,,R,18,0.0,12,,,,,,23
16221,657,328,196,7,4,1,1,1,9.0,90,8214000,,,,,1
16222,657,360,187,6,13,2,2,2,6.0,88,,,,,,12
16223,657,306,196,8,12,3,3,3,4.0,87,,,,,,13
16224,657,304,187,5,8,4,4,4,3.0,87,,,,,,13
16225,657,341,66,14,9,5,5,5,2.0,84,,,,,,16
16226,657,235,182,4,7,6,6,6,1.0,83,,,,,,17
16227,657,345,66,9,14,,R,7,0.0,73,,,,,,5
16228,657,278,6,15,2,,R,8,0.0,56,,,,,,5
16229,657,356,182,3,5,,R,9,0.0,51,,,,,,5
16230,657,346,180,10,6,,R,10,0.0,30,,,,,,44
16231,657,358,180,2,1,,R,11,0.0,19,,,,,,3
16232,657,361,182,11,11,,R,12,0.0,18,,,,,,5
16233,657,289,180,1,3,,R,13,0.0,8,,,,,,3
16234,657,262,66,12,10,,R,14,0.0,1,,,,,,108
16235,658,289,180,1,4,1,1,1,9.0,80,7019400,,,,,1
16236,658,361,182,16,9,2,2,2,6.0,80,7036700,,,,,1
16237,658,346,180,9,5,3,3,3,4.0,80,7054000,,,,,1
16238,658,370,180,2,10,4,4,4,3.0,80,7072300,,,,,1
16239,658,360,187,4,11,5,5,5,2.0,79,,,,,,11
16240,658,304,187,3,12,6,6,6,1.0,78,,,,,,12
16241,658,350,167,12,16,7,7,7,0.0,74,,,,,,16
16242,658,235,182,6,7,,R,8,0.0,48,,,,,,22
16243,658,328,196,7,1,,R,9,0.0,22,,,,,,86
16244,658,306,196,8,3,,R,10,0.0,20,,,,,,86
16245,658,278,6,11,2,,R,11,0.0,16,,,,,,24
16246,658,345,66,10,14,,R,12,0.0,15,,,,,,5
16247,658,351,182,17,15,,R,13,0.0,15,,,,,,86
16248,658,341,66,14,6,,R,14,0.0,9,,,,,,6
16249,658,356,182,5,8,,R,15,0.0,9,,,,,,3
16250,658,262,66,15,13,,R,16,0.0,0,,,,,,3
16251,659,328,196,4,2,1,1,1,9.0,90,7602080,,,,,1
16252,659,346,180,10,10,2,2,2,6.0,90,7626600,,,,,1
16253,659,278,6,8,4,3,3,3,4.0,90,7632590,,,,,1
16254,659,304,187,7,7,4,4,4,3.0,90,7639240,,,,,1
16255,659,235,182,12,5,5,5,5,2.0,90,7639750,,,,,1
16256,659,356,182,11,8,6,6,6,1.0,90,7672890,,,,,1
16257,659,289,180,1,3,7,7,7,0.0,88,,,,,,12
16258,659,306,187,5,11,8,8,8,0.0,87,,,,,,13
16259,659,341,66,14,12,9,9,9,0.0,87,,,,,,13
16260,659,350,187,18,15,10,10,10,0.0,84,,,,,,16
16261,659,351,182,17,14,,R,11,0.0,54,,,,,,80
16262,659,360,187,6,6,,R,12,0.0,24,,,,,,22
16263,659,358,180,2,1,,R,13,0.0,16,,,,,,86
16264,659,361,182,16,9,,R,14,0.0,12,,,,,,8
16265,659,262,66,15,13,,R,15,0.0,9,,,,,,6
16266,660,328,196,2,1,1,1,1,9.0,38,7007400,,,,,1
16267,660,306,196,7,5,2,2,2,6.0,38,7064500,,,,,1
16268,660,235,182,11,4,3,3,3,4.0,38,7064700,,,,,1
16269,660,360,187,5,7,4,4,4,3.0,37,,,,,,11
16270,660,350,187,10,10,5,5,5,2.0,37,,,,,,11
16271,660,289,180,1,8,6,6,6,1.0,37,,,,,,11
16272,660,351,182,12,13,7,7,7,0.0,36,,,,,,12
16273,660,304,187,4,2,8,8,8,0.0,35,,,,,,13
16274,660,346,180,3,9,9,9,9,0.0,34,,,,,,14
16275,660,278,6,6,6,,R,10,0.0,30,,,,,,5
16276,660,358,180,15,3,,R,11,0.0,22,,,,,,68
16277,660,361,182,9,11,,R,12,0.0,21,,,,,,83
16278,660,357,180,14,12,,R,13,0.0,1,,,,,,48
16279,661,328,196,3,2,1,1,1,9.0,84,6955600,,,,,1
16280,661,235,182,7,4,2,2,2,6.0,83,,,,,,11
16281,661,360,187,6,7,3,3,3,4.0,83,,,,,,11
16282,661,358,180,2,1,4,4,4,3.0,83,,,,,,11
16283,661,361,182,16,10,5,5,5,2.0,83,,,,,,11
16284,661,350,187,19,11,6,6,6,1.0,82,,,,,,12
16285,661,289,180,1,12,7,7,7,0.0,82,,,,,,12
16286,661,346,180,10,9,8,8,8,0.0,81,,,,,,13
16287,661,306,196,4,17,9,9,9,0.0,78,,,,,,16
16288,661,357,180,9,14,10,10,10,0.0,75,,,,,,19
16289,661,345,6,12,8,,R,11,0.0,61,,,,,,5
16290,661,278,6,11,5,,R,12,0.0,45,,,,,,6
16291,661,304,187,5,3,,R,13,0.0,27,,,,,,80
16292,661,262,66,15,13,,R,14,0.0,19,,,,,,7
16293,661,347,180,18,16,,R,15,0.0,6,,,,,,5
16294,661,321,187,20,15,,R,16,0.0,5,,,,,,22
16295,661,341,66,14,6,,R,17,0.0,1,,,,,,22
16296,662,235,182,6,1,1,1,1,9.0,14,6595400,,,,,1
16297,662,328,196,7,2,2,2,2,6.0,14,6653100,,,,,1
16298,662,360,187,10,8,3,3,3,4.0,14,6797000,,,,,1
16299,662,289,180,1,9,4,4,4,3.0,14,6834200,,,,,1
