resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
12377,512,172,27,26,1,1,1,1,9.0,53,5763210,,,,,1
12378,512,199,32,2,3,2,2,2,6.0,53,5778150,,,,,1
12379,512,187,1,7,6,3,3,3,4.0,53,5852020,,,,,1
12380,512,221,27,25,2,4,4,4,3.0,53,5864930,,,,,1
12381,512,207,32,1,7,5,5,5,2.0,52,,,,,,11
12382,512,224,56,14,11,6,6,6,1.0,52,,,,,,11
12383,512,173,58,18,16,7,7,7,0.0,52,,,,,,11
12384,512,200,21,30,14,8,8,8,0.0,51,,,,,,12
12385,512,178,3,27,15,9,9,9,0.0,51,,,,,,12
12386,512,223,3,28,17,10,10,10,0.0,51,,,,,,12
12387,512,206,57,22,24,11,11,11,0.0,51,,,,,,12
12388,512,203,6,12,10,,R,12,0.0,48,,,,,,5
12389,512,212,32,31,19,,R,13,0.0,46,,,,,,22
12390,512,136,58,17,21,,R,14,0.0,42,,,,,,7
12391,512,231,59,20,18,,R,15,0.0,41,,,,,,10
12392,512,197,25,4,4,,R,16,0.0,15,,,,,,5
12393,512,219,4,15,12,,R,17,0.0,15,,,,,,5
12394,512,182,204,5,23,,R,18,0.0,8,,,,,,69
12395,512,163,4,16,25,,R,19,0.0,6,,,,,,5
12396,512,222,6,11,5,,R,20,0.0,0,,,,,,4
12397,512,202,25,3,8,,R,21,0.0,0,,,,,,4
12398,512,175,1,8,9,,R,22,0.0,0,,,,,,4
12399,512,137,204,6,20,,R,23,0.0,0,,,,,,4
12400,512,232,60,24,22,,R,24,0.0,0,,,,,,4
12401,512,119,21,29,13,,W,25,0.0,0,,,,,,3
12402,512,233,54,9,0,,W,26,0.0,0,,,,,,54
12403,513,172,27,26,1,1,1,1,9.0,40,6009640,,,,,1
12404,513,221,27,25,2,2,2,2,6.0,40,6014920,,,,,1
12405,513,199,32,2,3,3,3,3,4.0,40,6053780,,,,,1
12406,513,202,25,3,8,4,4,4,3.0,40,6095520,,,,,1
12407,513,203,6,12,5,5,5,5,2.0,39,,,,,,11
12408,513,222,6,11,6,6,6,6,1.0,39,,,,,,11
12409,513,200,21,30,19,7,7,7,0.0,39,,,,,,11
12410,513,187,1,7,14,8,8,8,0.0,39,,,,,,11
12411,513,119,21,29,16,9,9,9,0.0,39,,,,,,11
12412,513,219,4,15,7,10,10,10,0.0,39,,,,,,11
12413,513,224,56,14,9,11,11,11,0.0,39,,,,,,11
12414,513,173,58,18,20,12,12,12,0.0,39,,,,,,11
12415,513,206,57,22,23,13,13,13,0.0,39,,,,,,11
12416,513,136,58,17,21,14,14,14,0.0,39,,,,,,11
12417,513,223,3,28,17,15,15,15,0.0,38,,,,,,12
12418,513,178,3,27,13,,R,16,0.0,33,,,,,,69
12419,513,233,54,9,24,,R,17,0.0,31,,,,,,38
12420,513,163,4,16,11,,R,18,0.0,28,,,,,,20
12421,513,231,59,20,10,,R,19,0.0,7,,,,,,38
12422,513,175,1,8,18,,R,20,0.0,7,,,,,,4
12423,513,182,204,5,12,,R,21,0.0,5,,,,,,6
12424,513,137,204,6,22,,R,22,0.0,5,,,,,,3
12425,513,207,32,1,4,,R,23,0.0,2,,,,,,95
12426,513,197,25,4,15,,R,24,0.0,0,,,,,,10
12427,513,212,32,31,0,,F,25,0.0,0,,,,,,81
12428,513,232,60,24,0,,F,26,0.0,0,,,,,,81
12429,514,203,6,12,3,1,1,1,9.0,78,6109960,,,,,1
12430,514,222,6,11,2,2,2,2,6.0,78,6113380,,,,,1
12431,514,197,25,4,9,3,3,3,4.0,78,6132070,,,,,1
12432,514,207,32,1,8,4,4,4,3.0,78,6137840,,,,,1
12433,514,199,32,2,11,5,5,5,2.0,78,6176930,,,,,1
12434,514,182,204,5,4,6,6,6,1.0,77,,,,,,11
12435,514,137,204,6,12,7,7,7,0.0,77,,,,,,11
12436,514,231,59,20,13,8,8,8,0.0,77,,,,,,11
12437,514,223,3,28,22,9,9,9,0.0,76,,,,,,12
12438,514,175,1,8,17,10,10,10,0.0,75,,,,,,13
12439,514,119,21,29,16,11,11,11,0.0,75,,,,,,13
12440,514,200,21,30,20,12,12,12,0.0,74,,,,,,14
12441,514,224,56,14,18,13,13,13,0.0,74,,,,,,14
12442,514,212,32,31,23,,R,14,0.0,71,,,,,,5
12443,514,163,4,16,10,,R,15,0.0,67,,,,,,27
12444,514,178,3,27,19,,R,16,0.0,63,,,,,,22
12445,514,187,1,7,14,,R,17,0.0,61,,,,,,80
12446,514,233,54,9,24,,R,18,0.0,57,,,,,,3
12447,514,219,4,15,1,,R,19,0.0,47,,,,,,5
12448,514,172,27,26,6,,R,20,0.0,45,,,,,,3
12449,514,202,25,3,7,,R,21,0.0,25,,,,,,37
12450,514,173,58,18,15,,R,22,0.0,16,,,,,,3
12451,514,221,27,25,5,,R,23,0.0,4,,,,,,3
12452,514,136,58,17,21,,R,24,0.0,2,,,,,,3
12453,514,206,57,22,0,,F,25,0.0,0,,,,,,81
12454,514,232,60,24,0,,F,26,0.0,0,,,,,,81
12455,515,203,6,12,1,1,1,1,9.0,80,6625400,,,,,1
12456,515,222,6,11,3,2,2,2,6.0,80,6654780,,,,,1
12457,515,178,3,27,10,3,3,3,4.0,80,6685090,,,,,1
12458,515,207,32,1,6,4,4,4,3.0,80,6689730,,,,,1
12459,515,221,27,25,4,5,5,5,2.0,80,6708920,,,,,1
12460,515,197,25,4,7,6,6,6,1.0,79,,,,,,11
12461,515,173,58,18,20,7,7,7,0.0,78,,,,,,12
12462,515,137,204,6,12,8,8,8,0.0,78,,,,,,12
12463,515,200,21,30,13,9,9,9,0.0,78,,,,,,12
12464,515,202,25,3,17,,D,10,0.0,72,,,,,,2
12465,515,212,32,31,23,,R,11,0.0,71,,,,,,3
12466,515,206,57,22,24,,R,12,0.0,69,,,,,,3
12467,515,187,1,7,18,,R,13,0.0,62,,,,,,98
12468,515,233,54,9,21,,D,14,0.0,49,,,,,,2
12469,515,223,3,28,15,,R,15,0.0,48,,,,,,5
12470,515,136,58,17,14,,R,16,0.0,47,,,,,,22
12471,515,119,21,29,9,,R,17,0.0,40,,,,,,23
12472,515,199,32,2,2,,R,18,0.0,21,,,,,,7
12473,515,224,56,14,16,,R,19,0.0,19,,,,,,7
12474,515,232,60,24,22,,R,20,0.0,13,,,,,,5
12475,515,172,27,26,5,,R,21,0.0,8,,,,,,23
12476,515,231,59,20,8,,R,22,0.0,0,,,,,,7
12477,515,182,204,5,11,,R,23,0.0,0,,,,,,3
12478,515,175,1,8,19,,R,24,0.0,0,,,,,,4
