resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
20323,337,4,6,8,3,1,1,1,25.0,49,5960396,45,1,118287,191.706,1
20324,337,13,6,7,2,2,2,2,18.0,49,5976495,38,5,119732,189.392,1
20325,337,1,1,2,4,3,3,3,15.0,49,5983578,42,4,119560,189.665,1
20326,337,20,9,5,1,4,4,4,12.0,49,5999195,32,12,120218,188.627,1
20327,337,3,131,4,5,5,5,5,10.0,49,6000609,45,13,120236,188.599,1
20328,337,30,131,3,7,6,6,6,8.0,49,6004559,45,11,120204,188.649,1
20329,337,18,1,1,8,7,7,7,6.0,49,6005676,45,9,119970,189.017,1
20330,337,17,9,6,6,8,8,8,4.0,49,6006756,45,3,119487,189.781,1
20331,337,24,10,15,12,9,9,9,2.0,49,6013404,39,7,119906,189.118,1
20332,337,22,3,9,11,10,10,10,1.0,49,6022885,47,6,119833,189.233,1
20333,337,9,4,11,9,11,11,11,0.0,49,6029489,33,14,120474,188.226,1
20334,337,16,10,14,10,12,12,12,0.0,49,6043354,49,2,119393,189.93,1
20335,337,153,5,17,18,13,13,13,0.0,49,6053052,28,8,119964,189.026,1
20336,337,807,3,10,13,14,14,14,0.0,48,,34,15,121401,186.789,11
20337,337,5,205,19,21,15,15,15,0.0,47,,47,17,122701,184.81,12
20338,337,67,5,16,15,16,16,16,0.0,46,,41,10,120080,188.844,10
20339,337,15,205,18,20,17,17,17,0.0,46,,34,18,122930,184.465,9
20340,337,37,15,22,14,,R,18,0.0,28,,27,16,121650,186.406,9
20341,337,811,164,21,23,,R,19,0.0,17,,14,22,129127,175.613,25
20342,337,10,166,24,19,,R,20,0.0,16,,11,21,127062,178.467,6
20343,337,808,4,12,17,,R,21,0.0,13,,7,19,124307,182.422,22
20344,337,155,15,23,16,,R,22,0.0,11,,4,20,125044,181.347,9
20345,337,810,166,25,22,,R,23,0.0,2,,2,23,129361,175.295,9
20346,337,812,164,20,24,,R,24,0.0,1,,,,,,3
20347,338,18,1,1,4,1,1,1,25.0,58,5616531,52,6,89291,213.804,1
20348,338,9,4,11,9,2,2,2,18.0,58,5628565,52,8,89570,213.138,1
20349,338,13,6,7,5,3,3,3,15.0,58,5631019,52,7,89537,213.216,1
20350,338,4,6,8,3,4,4,4,12.0,58,5632835,47,10,89707,212.812,1
20351,338,3,131,4,6,5,5,5,10.0,58,5633214,53,2,88489,215.742,1
20352,338,1,1,2,11,6,6,6,8.0,58,5646429,47,3,88506,215.7,1
20353,338,24,10,15,13,7,7,7,6.0,58,5676378,55,9,89685,212.865,1
20354,338,22,3,9,8,8,8,8,4.0,58,5677067,58,5,89210,213.998,1
20355,338,17,9,6,2,9,9,9,2.0,58,5683850,47,1,88358,216.061,1
20356,338,30,131,3,7,10,10,10,1.0,58,5685922,58,4,89185,214.058,1
20357,338,153,5,17,17,11,11,11,0.0,58,5687832,49,11,89713,212.798,1
20358,338,37,15,22,14,12,12,12,0.0,58,5690615,54,12,90587,210.745,1
20359,338,5,205,19,19,13,13,13,0.0,56,,52,14,93638,203.878,12
20360,338,812,164,20,22,14,14,14,0.0,53,,48,16,95045,200.86,15
20361,338,10,166,24,23,,R,15,0.0,41,,37,15,94230,202.597,22
20362,338,810,166,25,24,,R,16,0.0,26,,17,17,96607,197.613,9
20363,338,20,9,5,1,,R,17,0.0,25,,22,13,91556,208.515,36
20364,338,16,10,14,10,,R,18,0.0,9,,6,19,103223,184.947,5
20365,338,808,4,12,18,,R,19,0.0,9,,6,18,103132,185.11,20
20366,338,811,164,21,21,,R,20,0.0,4,,4,20,147276,129.626,9
20367,338,67,5,16,12,,R,21,0.0,0,,,,,,4
20368,338,807,3,10,15,,R,22,0.0,0,,,,,,4
20369,338,155,15,23,16,,R,23,0.0,0,,,,,,4
20370,338,15,205,18,20,,W,24,0.0,0,,,,,,9
20371,339,20,9,5,3,1,1,1,25.0,56,5628412,53,6,97813,204.009,1
20372,339,17,9,6,1,2,2,2,18.0,56,5633261,53,1,97054,205.605,1
20373,339,3,131,4,2,3,3,3,15.0,56,5641916,53,8,98129,203.352,1
20374,339,9,4,11,6,4,4,4,12.0,56,5647001,55,7,98074,203.466,1
20375,339,16,10,14,4,5,5,5,10.0,56,5649471,55,9,98160,203.288,1
20376,339,1,1,2,20,6,6,6,8.0,56,5651883,32,4,97745,204.151,1
20377,339,13,6,7,21,7,7,7,6.0,56,5655480,48,5,97784,204.07,1
20378,339,18,1,1,17,8,8,8,4.0,56,5666330,49,10,98501,202.584,1
20379,339,153,5,17,14,9,9,9,2.0,56,5699014,44,13,99489,200.572,1
20380,339,807,3,10,5,10,10,10,1.0,56,5701811,51,11,99124,201.311,1
20381,339,67,5,16,13,11,11,11,0.0,56,5707350,54,3,97610,204.433,1
20382,339,22,3,9,7,12,12,12,0.0,55,,46,12,99428,200.695,11
20383,339,4,6,8,19,13,13,13,0.0,54,,41,2,97231,205.23,5
20384,339,810,166,25,24,14,14,14,0.0,53,,28,18,103224,193.315,13
20385,339,812,164,20,22,15,15,15,0.0,53,,40,21,104790,190.426,13
20386,339,811,164,21,23,16,16,16,0.0,52,,39,22,105334,189.443,14
20387,339,15,205,18,18,17,17,17,0.0,51,,31,20,103753,192.329,15
20388,339,5,205,19,15,,N,18,0.0,46,,44,17,102701,194.299,88
20389,339,808,4,12,11,,R,19,0.0,32,,32,14,100693,198.174,6
20390,339,24,10,15,10,,R,20,0.0,12,,9,16,102594,194.502,37
20391,339,30,131,3,8,,R,21,0.0,9,,9,15,102084,195.474,36
20392,339,155,15,23,9,,R,22,0.0,8,,6,19,103340,193.098,5
20393,339,10,166,24,16,,R,23,0.0,2,,2,23,106388,187.566,20
20394,339,37,15,22,12,,W,24,0.0,0,,,,,,5
20395,340,18,1,1,5,1,1,1,25.0,56,6402163,14,4,102886,190.731,1
20396,340,1,1,2,6,2,2,2,18.0,56,6403693,13,1,102061,192.273,1
20397,340,3,131,4,4,3,3,3,15.0,56,6411647,14,5,103245,190.068,1
20398,340,4,6,8,3,4,4,4,12.0,56,6414032,14,9,104134,188.445,1
20399,340,9,4,11,8,5,5,5,10.0,56,6424376,14,6,103630,189.362,1
20400,340,20,9,5,1,6,6,6,8.0,56,6435473,14,2,102358,191.715,1
20401,340,808,4,12,14,7,7,7,6.0,56,6449763,14,8,103801,189.05,1
20402,340,17,9,6,2,8,8,8,4.0,56,6454335,14,3,102609,191.246,1
20403,340,13,6,7,7,9,9,9,2.0,56,6459959,14,13,104594,187.616,1
20404,340,30,131,3,9,10,10,10,1.0,56,6463912,14,10,104298,188.149,1
20405,340,16,10,14,10,11,11,11,0.0,56,6465037,14,11,104364,188.03,1
20406,340,22,3,9,11,12,12,12,0.0,56,6465828,17,14,105559,185.901,1
20407,340,153,5,17,12,13,13,13,0.0,56,6473579,14,7,103755,189.134,1
20408,340,5,205,19,21,14,14,14,0.0,55,,14,15,107141,183.156,11
20409,340,807,3,10,16,15,15,15,0.0,55,,13,12,104549,187.697,11
20410,340,811,164,21,23,16,16,16,0.0,54,,16,17,108216,181.337,12
20411,340,812,164,20,24,17,17,17,0.0,52,,15,18,108788,180.383,14
20412,340,15,205,18,20,,R,18,0.0,26,,14,19,109675,178.925,9
20413,340,810,166,25,22,,R,19,0.0,8,,7,20,113185,173.376,8
20414,340,37,15,22,17,,R,20,0.0,7,,6,16,107739,182.14,39
20415,340,67,5,16,13,,R,21,0.0,0,,,,,,3
20416,340,155,15,23,15,,R,22,0.0,0,,,,,,3
20417,340,24,10,15,18,,R,23,0.0,0,,,,,,3
20418,340,10,166,24,19,,W,24,0.0,0,,,,,,5
20419,341,17,9,6,1,1,1,1,25.0,66,5744101,62,2,84828,197.552,1
20420,341,4,6,8,4,2,2,2,18.0,66,5768166,57,3,84846,197.51,1
20421,341,20,9,5,2,3,3,3,15.0,66,5795439,56,5,85176,196.745,1
20422,341,30,131,3,6,4,4,4,12.0,66,5806296,64,10,85529,195.933,1
20423,341,18,1,1,5,5,5,5,10.0,66,5807829,64,4,85166,196.768,1
